,Unnamed: 0,level_0,index,Item Id,Url Id,Manufacturer,Model,Price,Financed Price,Mileage,Year,Fuel,Gear,Doors,Seats,Province,City,Zip Code,Warranty,Posted Date,Scraping Date,Url
0,0.0,,,3zlg8880lnjx,423751593.0,Ford mondeo,mondeo,500 €,,,2001.0,,,,,Madrid,Aranjuez,28300.0,,2019-11-02,2019-11-02,https://es.wallapop.com/item/ford-mondeo-mondeo-2001-423751593
1,1.0,,,e65y88gx72jo,423746100.0,Opel,Movano,1.300 €,,,1999.0,Diésel,Manual,4.0,9.0,Madrid,Fuenlabrada,28941.0,,2019-11-02,2019-11-02,https://es.wallapop.com/item/opel-movano-1999-423746100
2,2.0,,,nz0m440nrdjo,423746099.0,Renault,Captur,11.900 €,,96000.0,2015.0,Diésel,Manual,5.0,5.0,Barcelona,Sabadell,8200.0,,2019-11-02,2019-11-02,https://es.wallapop.com/item/renault-captur-2015-423746099
3,3.0,,,qjwy44p5pwzo,423742577.0,Renault,Clio,,,,2006.0,Diésel,Manual,3.0,5.0,Málaga,Marbella,29604.0,,2019-11-02,2019-11-02,https://es.wallapop.com/item/renault-clio-2006-423742577
4,4.0,,,x6qymmqd3qjy,423763590.0,SEAT,Ibiza,2.000 €,,240000.0,2003.0,Diésel,Manual,5.0,5.0,Badajoz,Badajoz,6003.0,,2019-11-02,2019-11-02,https://es.wallapop.com/item/seat-ibiza-2003-423763590
5,5.0,,,pj9ymm4nqo6e,423765237.0,Peugeot,206,2.300 €,,208000.0,2004.0,Diésel,Manual,5.0,5.0,Alicante,Alicante,3016.0,,2019-11-02,2019-11-02,https://es.wallapop.com/item/peugeot-206-2004-423765237
6,6.0,,,8j3y448po169,423765234.0,SEAT,Leon,7.900 €,,129236.0,2012.0,Diésel,Manual,5.0,5.0,La Rioja,Logroño,26002.0,,2019-11-02,2019-11-02,https://es.wallapop.com/item/seat-leon-2012-reference-copa-423765234
7,,,,0a0a0a0a,www0a0a,Ferrari,Testarossa,1.000.000 €,,15.0,2020.0,Gasolina,Automático,3.0,2.0,Lleida,Lleida,25001.0,,2019-11-02,2019-11-02,its.me
8,,,,nz0m44r08rjo,423777175,Citroen,minicamper.pro,8.990 €,,158000,2013,Diésel,Manual,4,5,Girona,Roses,17480,,2019-11-02,2019-11-02,https://es.wallapop.com/item/citroen-berlingo-2013-423777175
9,,,,qzm44noyn1zv,401893908,Mercedes-Benz,Classe E (238),23.900 €,,,2012,Diésel,Automático,2,4,Albacete,Villarrobledo,02600,,2019-09-18,2019-11-02,https://es.wallapop.com/item/mercedes-benz-classe-e-238-2012-401893908
10,,,,nz0m4vp2dejo,423255451,SWIFT,CLASSIC CORONETTE,5.800 €,,,1995,,,,,Albacete,Villarrobledo,02600,,2019-11-01,2019-11-02,https://es.wallapop.com/item/swift-classic-coronette-1995-423255451
11,,,,4z4veeneemzy,423791562,BMW,Serie 3,18.500 €,,149000,2007,Gasolina,Manual,2,4,Valencia,Sagunto,46500,,2019-11-03,2019-11-03,https://es.wallapop.com/item/bmw-serie-3-2007-423791562
12,,,,v6g4ggem8l6e,423802940,Ford,Focus,1.999 €,,200000,2003,Diésel,Manual,4,5,Murcia,Mula,30170,,2019-11-03,2019-11-03,https://es.wallapop.com/item/ford-focus-2003-423802940
13,,,,9jd7kkedg9jk,423802936,cuaquiera,todos,500 €,,,2000,,,,,Lleida,Lleida,25001,,2019-11-03,2019-11-03,https://es.wallapop.com/item/cuaquiera-todos-2000-423802936
14,,,,qjwy442q9qzo,423780177,Volkswagen,Golf,690 €,,200000,1994,Gasolina,Manual,5,5,Barcelona,Parets del Vallès,08150,,2019-11-03,2019-11-03,https://es.wallapop.com/item/volkswagen-golf-gti-8v-2000-423780177
15,,,,nz0m44w44rjo,423791551,Peugeot,206,1.000 €,,180000,2003,Gasolina,Manual,3,5,León,Valencia de Don Juan,24200,,2019-11-03,2019-11-03,https://es.wallapop.com/item/peugeot-206-2003-423791551
16,,,,ejk488pg7yzx,423787795,Chevrolet,Lacetti,,,127000,2010,Gasolina,Manual,5,5,Guipúzcoa,Donostia-San Sebastián,20005,,2019-11-03,2019-11-03,https://es.wallapop.com/item/chevrolet-lacetti-2010-423787795
17,,,,w67d4474x96x,423791604,Nissan,Trade,2.700 €,,191000,1998,Diésel,Manual,4,3,Málaga,Málaga,29005,,2019-11-03,2019-11-03,https://es.wallapop.com/item/nissan-trade-1998-423791604
18,,,,nz0m44r88rjo,423778327,Audi,A4,6.800 €,,193000,2007,Diésel,Manual,4,5,Tarragona,Santa Coloma de Queralt,43420,,2019-11-03,2019-11-03,https://es.wallapop.com/item/audi-a4-2007-423778327
19,,,,ejk488p5npzx,423780223,SEAT,Leon,2.700 €,,320000,2006,Diésel,Manual,5,5,Málaga,Málaga,29006,,2019-11-03,2019-11-03,https://es.wallapop.com/item/seat-leon-2006-423780223
20,,,,36ew118ygv6d,423785963,BMW,Serie 5,7.900 €,,230000,2005,Diésel,Automático,4,5,Córdoba,Córdoba,14006,,2019-11-03,2019-11-03,https://es.wallapop.com/item/bmw-serie-5-2005-423785963
21,,,,qjwy442x5ezo,423787777,Renault,Grand Scenic,7.250 €,,230000,2010,Diésel,Manual,5,7,A Coruña,Os Tilos,15894,,2019-11-03,2019-11-03,https://es.wallapop.com/item/renault-grand-scenic-2010-423787777
22,,,,wzvy440wn4zl,423801317,Peugeot,206,800 €,,196000,2005,Gasolina,Manual,5,5,Huelva,Huelva,21006,,2019-11-03,2019-11-03,https://es.wallapop.com/item/peugeot-206-2005-423801317
